,cell,treatment,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME16,ME17,ME18,ME19,ME20,ME21,ME22,ME23,ME24
121,COV434,ERI,0.05827001,0.230866546,-0.087916099,0.010312568,0.001039218,-0.011457778,-0.051712687,-0.054856499,0.068494835,-0.043293356,0.043343667,0.068764544,-0.09090048,0.003713889,0.0849254,-0.018685677,-0.014887003,0.11660769,0.003281631,0.182758132,0.048897593,-0.073758263,0.053385493
122,COV434,ERI,0.04655386,0.167545834,-0.089715043,0.002038048,-0.001071473,0.029106738,-0.073643784,-0.059882958,0.053149574,-0.032825939,0.075996134,0.078500037,-0.091271305,-0.006746092,0.085585198,-0.014903016,-0.020481127,0.139196747,-0.001593368,0.11112872,0.043103205,-0.058694139,0.027299128
123,COV434,ERI,0.048062626,0.144907563,-0.089328722,0.00145162,0.001662535,0.026197284,-0.073535646,-0.064229312,0.056499836,-0.033889212,0.074663252,0.073333775,-0.092518538,-0.006937184,0.085501933,-0.031011749,-0.010436468,0.125070776,-0.004580054,0.124190882,0.020831926,-0.053625644,0.031984494
124,CaOv3,ERI,-0.0406521,-0.050210682,0.039787804,-0.015798445,0.018859505,-0.023696624,0.11911844,-0.015697224,-0.020741816,-0.050539642,-0.117383175,-0.029619315,0.027843038,-0.025851732,-0.036161948,0.10393779,0.30411811,0.038814361,-0.059023964,-0.029152283,-0.019789996,-0.025554885,-0.048824658
125,CaOv3,ERI,-0.041332484,-0.031315996,0.039171539,-0.01136391,0.019479015,-0.021375453,0.117902717,-0.017900605,-0.01999739,-0.04886866,-0.117905669,-0.029151199,0.027703976,-0.017057533,-0.031381028,0.094866175,0.292916302,0.030474827,-0.058636663,-0.025571674,-0.003014873,-0.036996463,-0.030129396
126,CaOv3,ERI,-0.040851494,-0.073266914,0.039138098,-0.01417408,0.019895795,-0.016649735,0.117666164,-0.014365678,-0.020736314,-0.05279944,-0.111861489,-0.030240961,0.028032688,-0.0202721,-0.034748479,0.09710568,0.30790224,0.032509123,-0.055598007,-0.021168988,-0.032770819,-0.042052208,-0.014578514
127,SK-OV-3,PTX,-0.042641794,-0.075568518,0.058300995,-0.03894075,0.037900676,0.026167227,-0.013139604,0.105481995,-0.041767689,0.000491607,0.046480126,-0.035428448,0.035494931,-0.068290338,-0.040043754,-0.012736095,-0.047225088,-0.008123887,0.298096536,-0.054572602,-0.038753747,0.047808735,0.00710104
128,SK-OV-3,PTX,-0.038350053,-0.0511226,0.057169417,-0.039045674,0.03659535,0.02717321,-0.011762735,0.100619206,-0.037939277,0.003203193,0.042978987,-0.036141016,0.036850025,-0.059684844,-0.039212541,-0.029156537,-0.037167096,0.008900636,0.283869791,-0.021608709,-0.030740495,0.031199554,0.024875525
129,SK-OV-3,PTX,-0.042609429,-0.059336642,0.057195463,-0.037829351,0.038303915,0.025714037,-0.014031916,0.106830796,-0.038711136,0.001426079,0.047112045,-0.033377557,0.036867472,-0.053837871,-0.045637733,-0.025661914,-0.039297222,-0.005574806,0.293419905,-0.043644383,-0.024732564,0.066346575,0.028876198
130,TOV-21G,PTX,-0.034682883,-0.061659442,0.048435369,-0.023737819,0.032625481,-0.140359696,-0.043590452,0.043161961,-0.024852278,0.110168868,0.009250375,-0.003290659,0.024389818,-0.076816428,-0.030551832,-0.036249757,-0.017725421,-0.045137874,0.003375192,-0.082298987,-0.023505783,-0.033127288,0.004018434
131,TOV-21G,PTX,-0.034067332,-0.040029546,0.048181005,-0.018294962,0.034025046,-0.145192209,-0.037623492,0.03865674,-0.023307462,0.10968428,-0.000291687,-0.000388176,0.028784802,-0.071307184,-0.018548788,-0.035767934,-0.020208069,-0.036669861,-0.016823601,-0.073487682,-0.030216411,-0.036797345,-0.030687405
132,TOV-21G,PTX,-0.032953429,-0.016840656,0.048169245,-0.013896308,0.033394292,-0.14372599,-0.038717044,0.044569071,-0.023125382,0.109863322,-0.007576679,-0.002283916,0.026590203,-0.07461035,-0.013813922,-0.025094221,-0.026092836,-0.047717217,0.003949049,-0.077585308,-0.001294149,-0.030521725,0.015036107
133,OVISE,PTX,-0.03813165,0.003557015,0.023593865,-0.013851437,0.033762192,-0.078946336,0.090988371,-0.059937493,-0.030772794,0.190285381,0.026415627,-0.030942092,0.082190937,-0.046477501,-0.022529047,-0.01415913,-0.026025478,-0.028640026,-0.009244075,0.013770719,0.246939646,-0.031906869,-0.074218561
